Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.4275971621763511,0.46,170.99252674776318,8.840988846030086,73.48353150702842,-7.534516096115112,9.066503768359556,"Ronald Acuna Jr.",18401,660670
"Freddie Freeman","LAD",161,730,29,131,102,23,0.098630136,0.165753424,0.235478807,0.369918699,0.331240188,0.409589041,0.566718995,0.4105788874426924,0.408,162.49068474850915,4.465979524422437,60.98005164784215,-7.357481479644775,7.820401083895905,"Freddie Freeman",5361,518692
"Mookie Betts","LAD",152,693,39,126,107,14,0.138528138,0.154401154,0.272260274,0.316027088,0.306506849,0.408369408,0.578767123,0.4164887061153633,0.407,166.45253366277686,0.6934143491089344,57.7444111179739,-4.089083433151245,7.698308928490497,"Mookie Betts",13611,605141
"Matt Olson","ATL",162,720,54,127,139,1,0.144444444,0.231944444,0.320723685,0.301790281,0.282894736,0.388888888,0.603618421,0.4127573844756973,0.392,161.0441746192641,0.20806746743619442,54.65772848036956,-13.44566535949707,6.54897560774715,"Matt Olson",14344,621566
"Shohei Ohtani","LAA",135,599,44,102,95,20,0.151919866,0.238731218,0.350100604,0.341853035,0.303822937,0.412457912,0.653923541,0.43348226798974615,0.427,179.4532030886358,2.4923177706077695,59.5180421637746,-14.475308418273926,6.543361190145411,"Shohei Ohtani",19755,660271
"Corey Seager","TEX",119,536,33,88,96,2,0.09141791,0.164179104,0.295597484,0.339779005,0.327044025,0.389925373,0.622641509,0.4185934797410042,0.412,170.91323881977186,-2.7962705749087036,42.747049725976936,1.9544835090637207,6.293537568908063,"Corey Seager",13624,608369
"Marcus Semien","TEX",162,753,29,122,100,14,0.095617529,0.146082337,0.201492538,0.291044776,0.276119402,0.348404255,0.47761194,0.35423160789809754,0.333,126.30261466507851,1.3031869884580374,25.034757340498484,11.93205451965332,6.265561445030318,"Marcus Semien",12533,543760
"Juan Soto","SDP",162,708,35,97,109,12,0.186440677,0.182203389,0.24471831,0.29584352,0.274647887,0.410183875,0.519366197,0.39487367174748716,0.408,153.95128280513023,-0.8815935519523919,46.43936039060624,-10.013242721557617,6.031076222967053,"Juan Soto",20123,665742
"Bobby Witt Jr.","KCR",158,694,30,97,96,49,0.057636887,0.174351585,0.218408736,0.295180722,0.276131045,0.318903318,0.494539781,0.3433004379100193,0.369,114.26390534923259,7.591676039155573,19.45292706166363,14.906749725341797,5.8034860745930885,"Bobby Witt Jr.",25764,677951
"Julio Rodríguez","SEA",155,714,32,102,103,37,0.06582633,0.245098039,0.209480123,0.32962138,0.275229357,0.333333333,0.48470948,0.3474612170356815,0.345,127.93797307317917,5.23093086341396,29.13245989107894,4.314005613327026,5.780930850259218,"Julio Rodriguez",23697,677594
"William Contreras","MIL",141,611,17,86,78,6,0.103109656,0.206219312,0.168518519,0.348370927,0.288888888,0.367213114,0.457407407,0.3572947347634717,0.335,124.68813064475664,-1.557612651027739,17.12974403470023,19.751331388950348,5.747800518189202,"William Contreras",20503,661388
"Francisco Lindor","NYM",160,687,31,108,98,31,0.096069868,0.199417758,0.215946844,0.27664399,0.254152823,0.336244541,0.470099667,0.34553246638865237,0.346,120.70967257682375,3.7402756456285715,21.36605899592184,10.751821517944336,5.5303200707713005,"Francisco Lindor",12916,596019
"Adley Rutschman","BAL",154,687,20,84,80,1,0.133915574,0.147016011,0.158163265,0.302966101,0.277210884,0.374090247,0.435374149,0.35164259393834857,0.373,127.10105906444134,-1.877252931240946,20.43151460636257,10.159488134086132,5.403705540303644,"Adley Rutschman",26288,668939
