Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",138,603,492,136,70,25,0,41,93,110,102,14,159,5,4,0,13,7,1,0.276423,0.169154,0.263682,0.641509,0.402985,0.577236,0.409778,0.980221,0.300813,3.12554,0.320946,,-0.291471,118.876,48.3386,172.031,-0.291471,-6.5,49.406782388687134,-4.284391641616821,6.73616,999,,,,,,,1059,7.673913043,1059,7.673913043,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Juan Soto","NYM",152,672,525,144,84,25,2,33,109,98,140,14,106,3,4,0,8,7,4,0.274286,0.208333,0.157738,1.32075,0.427083,0.518095,0.403089,0.945179,0.24381,3.55833,0.284615,,-1.90111,128.861,50.2521,164.487,-1.90111,-4,49.919578552246094,-11.407407283782959,6.28863,999,,,,,,,1106.6,7.280263157,1106.6,7.280263157,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",152,660,574,157,93,29,6,29,108,98,75,6,144,6,5,0,1,16,3,0.273519,0.113636,0.218182,0.520833,0.360606,0.496516,0.365791,0.857122,0.222997,6.37256,0.315271,,0.659054,106.747,29.5416,143.72,0.659054,-3.8,33.675354063510895,3.4751322269439697,6.10908,999,,,,,,,961.1,6.323026315,961.1,6.323026315,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Shohei Ohtani","LAD",152,680,589,167,87,32,4,44,124,135,82,6,155,5,4,0,9,36,4,0.283531,0.120588,0.227941,0.529032,0.373529,0.575552,0.399657,0.949081,0.29202,6.91141,0.312183,,4.25405,128.517,48.9715,160.361,4.25405,0,53.33671951293945,-17.48971176147461,6.04089,999,,,,,,,1193.6,7.852631578,1193.6,7.852631578,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Bobby Witt Jr.","KCR",152,668,605,173,101,36,7,29,104,102,50,8,109,6,7,0,5,26,10,0.28595,0.0748503,0.163174,0.458716,0.342814,0.512397,0.360675,0.855211,0.226446,6.63489,0.303797,,-0.0260349,105.29,27.149,133.028,-0.0260349,3,25.21851385384798,10.36331558227539,5.97461,999,,,,,,,970.1,6.382236842,970.1,6.382236842,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",152,662,603,169,111,28,2,28,95,93,48,11,150,9,2,0,3,26,6,0.280265,0.0725076,0.226586,0.32,0.34139,0.472637,0.346456,0.814027,0.192371,5.63208,0.330211,,1.53085,96.7685,19.329,133.874,1.53085,5.2,27.189563751220703,7.632392406463623,5.87548,999,,,,,,,902.8,5.939473684,902.8,5.939473684,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Yordan Alvarez","HOU",145,619,531,157,87,32,2,36,93,104,73,13,104,10,5,0,11,3,0,0.295669,0.117932,0.168013,0.701923,0.387722,0.566855,0.399945,0.954577,0.271186,3.43179,0.305556,,-0.63911,117.132,44.7222,166.665,-0.63911,0,46.577675104141235,-15.920782089233398,5.29728,999,,,,,,,1045.5,7.210344827,1045.5,7.210344827,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Elly De La Cruz","CIN",152,664,595,159,91,33,8,27,107,91,63,11,186,4,1,1,2,53,12,0.267227,0.0948795,0.28012,0.33871,0.340875,0.485714,0.350317,0.826589,0.218487,8.38034,0.344648,,4.57974,99.1243,21.4508,118.979,4.57974,1.5,19.64972734451294,8.819223880767822,5.22387,999,,,,,,,958.6,6.306578947,958.6,6.306578947,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"José Ramírez","CLE",142,615,547,145,82,34,3,26,87,90,59,7,74,3,6,0,14,22,4,0.265082,0.095935,0.120325,0.797297,0.336585,0.480804,0.34705,0.81739,0.215722,5.82968,0.262693,,1.69871,90.1923,18.2507,129.156,1.69871,3,22.215529680252075,5.259700059890747,4.95491,999,,,,,,,841.7,5.927464788,841.7,5.927464788,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Francisco Lindor","NYM",143,627,554,141,87,28,2,24,90,85,58,7,118,9,5,1,2,17,3,0.254513,0.092504,0.188198,0.491525,0.332268,0.442238,0.332522,0.774507,0.187726,5.49424,0.280576,,1.02479,84.6206,11.2754,116.99,1.02479,6.4,13.763712048530579,13.311375617980957,4.95266,999,,,,,,,778.7,5.445454545,778.7,5.445454545,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ronald Acuña Jr.","ATL",123,558,475,138,84,26,2,26,107,77,71,8,103,9,3,0,2,33,7,0.290526,0.12724,0.184588,0.68932,0.390681,0.517895,0.387356,0.908576,0.227368,6.55324,0.320917,,2.53374,99.935,34.6612,149.191,2.53374,-1.4,35.35695290565491,-7.550793528556824,4.79086,999,,,,,,,912.1,7.415447154,912.1,7.415447154,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Adley Rutschman","BAL",135,579,507,131,85,29,1,16,68,69,64,9,90,3,5,0,3,2,0,0.258383,0.110535,0.15544,0.711111,0.341969,0.414201,0.325914,0.75617,0.155819,2.89996,0.283251,,-0.728616,75.0629,7.33256,115.669,-0.728616,6.1,9.652243912220001,16.737124919891357,4.71883,999,,,,,,,671.6,4.974814814,671.6,4.974814814,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Cal Raleigh","SEA",135,529,468,105,57,21,0,27,64,78,53,7,142,4,4,0,2,3,1,0.224359,0.100189,0.268431,0.373239,0.306238,0.442308,0.319006,0.748546,0.217949,2.59618,0.257426,,-0.649496,65.6397,3.75828,114.566,-0.649496,10.1,8.166812419891357,19.81854820251465,4.71151,999,,,,,,,608.6,4.508148148,608.6,4.508148148,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Fernando Tatis Jr.","SDP",123,536,479,131,72,28,1,30,86,84,49,11,114,5,3,0,1,15,3,0.273486,0.0914179,0.212687,0.429825,0.345149,0.524008,0.364712,0.869158,0.250522,5.23067,0.298817,,0.877352,86.2261,23.5258,138.82,0.877352,6.1,25.7588791847229,0.1917104721069336,4.52356,999,,,,,,,805.6,6.549593495,805.6,6.549593495,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Michael Harris II","ATL",142,583,542,158,103,30,4,21,81,79,32,10,112,6,3,0,2,15,5,0.291513,0.0548885,0.19211,0.285714,0.336192,0.47786,0.344386,0.814052,0.186347,5.56072,0.332524,,-0.0589393,84.2492,16.051,120.269,-0.0589393,7.5,14.071659691631794,9.642122268676758,4.45419,999,,,,,,,778.5,5.482394366,778.5,5.482394366,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Wyatt Langford","TEX",146,614,547,148,88,31,4,25,91,92,59,5,118,5,3,0,2,19,4,0.270567,0.0960912,0.192182,0.5,0.345277,0.478976,0.352861,0.824253,0.20841,5.96259,0.302211,,1.01979,92.9172,21.0927,132.018,1.01979,5.3,23.513618111610413,-1.4680771827697754,4.3907,999,,,,,,,846.4,5.797260273,846.4,5.797260273,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Jackson Merrill","SDP",152,600,554,155,101,27,5,22,78,86,36,6,96,1,5,4,2,15,4,0.279783,0.06,0.16,0.375,0.322148,0.465704,0.334505,0.787852,0.185921,5.73757,0.301587,,0.338175,81.9342,11.7474,118.488,0.338175,6.4,13.603129208087921,8.604585647583008,4.35711,999,,,,,,,755.9,4.973026315,755.9,4.973026315,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Corey Seager","TEX",123,537,475,128,78,24,1,25,69,77,54,9,93,4,4,0,8,1,1,0.269474,0.100559,0.173184,0.580645,0.346369,0.482105,0.351519,0.828474,0.212632,2.29549,0.285319,,-1.20734,80.6847,17.8675,131.074,-1.20734,0.3,17.885562896728516,6.219312012195587,4.33829,999,,,,,,,725.2,5.895934959,725.2,5.895934959,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Corbin Carroll","ARI",152,658,569,146,89,25,10,22,111,86,69,5,129,12,5,3,1,32,6,0.256591,0.104863,0.196049,0.534884,0.346565,0.45167,0.343955,0.798234,0.195079,8.37163,0.293144,,2.66771,94.8591,17.8876,119.537,2.66771,-1.6,18.04019808769226,0.8176954984664917,4.21063,999,,,,,,,871.9,5.73618421,871.9,5.73618421,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Mookie Betts","LAD",125,564,480,131,80,28,2,21,88,78,73,6,79,6,5,0,3,11,2,0.272917,0.129433,0.140071,0.924051,0.37234,0.470833,0.362681,0.843174,0.197917,4.9834,0.285714,,0.182447,89.8084,23.8327,135.474,0.182447,-8.5,24.10738480091095,-2.2830686569213867,4.1937,999,,,,,,,795.9,6.3672,795.9,6.3672,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Riley Greene","DET",135,584,514,138,86,25,5,22,82,75,62,8,142,5,3,0,2,5,2,0.268482,0.106164,0.243151,0.43662,0.351027,0.464981,0.349033,0.816008,0.196498,4.87525,0.328612,,-0.954414,86.5783,18.2631,130.499,-0.954414,7.9,19.4253848195076,1.4626102447509766,4.16787,999,,,,,,,771.5,5.714814814,771.5,5.714814814,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
