Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",152,672,522,143,84,25,2,32,108,96,143,14,104,3,4,0,8,7,3,0.273946,0.212798,0.154762,1.375,0.43006,0.51341,0.403117,0.943469,0.239464,3.64827,0.284615,,-1.51978,128.876,50.2667,164.505,-1.51978,-4.3,50.31552565097809,-11.707407474517822,6.29854,999,,,,,,,1106.4,7.278947368,1106.4,7.278947368,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",152,660,572,156,92,29,6,29,109,98,77,6,140,6,5,0,1,15,3,0.272727,0.116667,0.212121,0.55,0.362121,0.496504,0.36655,0.858625,0.223776,6.30185,0.311274,,0.451161,107.15,29.9449,144.254,0.451161,-3.6,33.87078195810318,3.6751322746276855,6.14992,999,,,,,,,961.6,6.326315789,961.6,6.326315789,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Bobby Witt Jr.","KCR",152,668,604,172,100,36,7,29,104,101,51,8,107,6,7,0,5,23,9,0.284768,0.0763473,0.16018,0.476636,0.342814,0.511589,0.360383,0.854404,0.226821,6.49494,0.301053,,-0.221029,105.134,26.9922,132.823,-0.221029,3.2,24.866640836000443,10.563315629959106,5.95893,999,,,,,,,965.6,6.352631578,965.6,6.352631578,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",152,662,601,167,109,28,2,28,95,93,50,11,146,9,2,0,3,24,6,0.27787,0.0755287,0.220544,0.342466,0.34139,0.470882,0.345864,0.812272,0.193012,5.51171,0.324009,,1.13085,96.4533,19.0138,133.458,1.13085,4.9,26.474326610565186,7.332392692565918,5.77063,999,,,,,,,895.8,5.893421052,895.8,5.893421052,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Aaron Judge","NYY",129,565,461,123,65,23,0,35,83,97,95,13,151,5,4,0,11,6,0,0.266811,0.168142,0.267257,0.629139,0.39469,0.544469,0.394945,0.939159,0.277657,3.21025,0.315412,,0.000351816,104.64,38.5469,161.597,0.000351816,-6.5,39.821225076913834,-4.424015283584595,5.60094,999,,,,,,,934.9,7.247286821,934.9,7.247286821,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",152,680,589,164,87,31,4,42,121,129,82,6,155,5,4,0,9,32,4,0.278438,0.120588,0.227941,0.529032,0.369118,0.558574,0.391713,0.927692,0.280136,6.72253,0.308081,,3.45405,124.169,44.6242,155.015,3.45405,0,48.189406633377075,-17.48971176147461,5.50929,999,,,,,,,1147.5,7.549342105,1147.5,7.549342105,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Elly De La Cruz","CIN",152,664,593,158,90,33,7,28,109,93,65,11,178,4,1,1,2,50,11,0.266442,0.0978916,0.268072,0.365169,0.342383,0.487352,0.351784,0.829736,0.220911,8.08964,0.335052,,4.37685,99.9081,22.2347,119.967,4.37685,1.8,20.230656623840332,9.119223833084106,5.31485,999,,,,,,,961.8,6.327631578,961.8,6.327631578,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Yordan Alvarez","HOU",143,610,523,152,85,31,2,34,89,99,72,13,101,10,5,0,11,3,0,0.290631,0.118033,0.165574,0.712871,0.383607,0.552581,0.392899,0.936188,0.26195,3.41801,0.300254,,-0.615433,111.969,40.6124,161.709,-0.615433,0,42.45529526472092,-15.689300537109375,4.86445,999,,,,,,,1000.8,6.998601398,1000.8,6.998601398,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Ronald Acuña Jr.","ATL",125,564,479,138,84,26,2,26,107,77,73,8,103,9,3,0,2,30,7,0.2881,0.129433,0.182624,0.708738,0.390071,0.51357,0.385655,0.903641,0.22547,6.36075,0.31728,,1.91795,100.237,34.2617,148.046,1.91795,-1.6,34.321852684020996,-7.816931366920471,4.67711,999,,,,,,,908.4,7.2672,908.4,7.2672,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Carson Williams","TBR",130,572,512,126,76,24,4,22,82,82,49,7,169,8,3,0,1,17,8,0.246094,0.0856643,0.295455,0.289941,0.31993,0.4375,0.324377,0.75743,0.191406,6.0583,0.320988,,-0.834496,73.4478,6.5363,116.014,-0.834496,9,9.64648061990738,15.30511474609375,4.54624,999,,,,,,,673.7,5.182307692,673.7,5.182307692,,,,,,,,,,,,,,,,,,,"Carson Williams","sa3017795",700246
