Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Pete Fairbanks","TBR",24,154.9602777777778,,,,146.41388059701492,,108.78999999999999,,,151.4561604584527,95.96051575931234,146.2813180515759,"Pete Fairbanks",17998,664126
"Yerry Rodríguez","TEX",1,100.94,121.32,,,128.72,,,,,114.41888888888889,129.98999999999998,137.7911111111111,"Yerry Rodriguez",21955,666720
"Jacob deGrom","NYM",64.1,112.83089686098656,,,,142.33355013550135,111.53041666666667,102.94597402597401,,,123.47358288770056,106.82977540106953,132.15691978609627,"Jacob deGrom",10954,594798
"Emmanuel Clase","CLE",72.2,107.6364705882353,,124.63569620253166,,154.36547008547006,,,,,135.60944383860408,99.7260414394765,131.83312977099237,"Emmanuel Clase",21032,661403
"Brusdar Graterol","LAD",49.2,95.62444444444445,135.3816140350877,125.30053763440861,,139.12232558139527,,,,,129.10112592592597,106.40722962962973,131.35869629629633,"Brusdar Graterol",20367,660813
"Andrés Muñoz","SEA",65,121.2293820224719,142.59,,,142.52628659476116,,,,,135.11088,100.35320000000004,131.08626000000004,"Andres Munoz",20373,662253
"Edwin Díaz","NYM",62,119.20010282776353,,,,142.8702040816326,,,,,132.89397826086955,95.29493478260872,128.70752173913044,"Edwin Diaz",14710,621242
"Tyler Glasnow","TBR",6.2,115.53737704918032,,,,106.565,158.22095238095238,,,,120.88157894736842,104.40087719298245,128.3642105263158,"Tyler Glasnow",14374,607192
"José Alvarado","PHI",51,92.03333333333335,119.12808333333335,141.7465608465608,,,140.23454545454544,,,,128.73375000000007,97.26506818181817,126.85352272727273,"Jose Alvarado",17780,621237
"Greg Holland","TEX",4.2,85.65416666666665,,,,124.612,94.42,,,,110.66024999999999,109.91299999999998,126.82975000000002,"Greg Holland",7196,518813
"Blake Treinen","LAD",5,98.58500000000001,103.49454545454546,103.636,,143.56526315789475,,,,,114.00028985507248,117.70115942028986,125.86869565217393,"Blake Treinen",12572,595014
"Evan Phillips","LAD",63,106.90616279069769,111.0320430107527,105.26592000000001,,128.91112745098044,,,,,122.74091542288559,105.56752238805964,124.20565174129352,"Evan Phillips",17734,623465
"Ryan Thompson","TBR",42.2,108.03275362318843,126.80209876543209,96.24666666666667,,125.66269662921349,,94.038,,,123.47508148148142,105.23149629629633,123.82657777777783,"Ryan Thompson",16647,657044
"Félix Bautista","BAL",65.2,132.97341059602644,,,155.72884615384615,123.31116666666665,,,,,137.85635437881874,87.02529531568226,123.52586558044803,"Felix Bautista",20666,642585
"Sandy León","CLE",2,,,,,,,,,,95.46,127.08000000000001,123.47999999999999,"Sandy Leon",5273,506702
"Jeremiah Estrada","CHC",5.2,120.78363636363635,,,,134.05363636363634,136.42,82.01,,,123.34448275862071,103.34965517241379,122.55931034482758,"Jeremiah Estrada",22210,669093
"Jhoan Duran","MIN",67.2,116.17532258064519,,,132.09052631578945,126.65666666666667,145.92178343949035,,,,128.33165146909823,95.96539007092201,122.11779128672745,"Jhoan Duran",21029,661395
"Corbin Burnes","MIL",202,81.71124999999999,78.58690909090909,124.24139944903582,,134.95514950166108,130.35485049833886,104.16225,,,121.15261670761682,98.97664619164621,120.86652334152336,"Corbin Burnes",19361,669203
"Camilo Doval","SFG",67.2,,109.94639175257734,107.35799999999998,,136.71476482617584,,,,,120.96505415162457,100.48016245487361,120.26209386281583,"Camilo Doval",21992,666808
"Ryan Helsley","STL",64.2,118.09485401459854,,,,134.65798045602605,125.87700000000002,83.86333333333334,,,124.00519916142551,96.89566037735845,120.23865828092242,"Ryan Helsley",18138,664854
"A.J. Minter","ATL",70,117.45750452079568,,124.7595518207283,,,,113.02905472636816,,,118.9569467028004,101.6159349593496,119.42514905149052,"A.J. Minter",18655,621345
"Craig Kimbrel","LAD",60,117.54492434662994,,,,,,,115.51316129032259,,116.86430856067724,103.29096895578554,118.5008090310442,"Craig Kimbrel",6655,518886
"Scott Effross","- - -",56.2,92.25577777777778,112.31732851985556,,,116.87341463414636,,114.2052100840336,,,113.47763031181037,112.85094361434378,118.36982375097004,"Scott Effross",18384,664123
"Tyler Rogers","SFG",75.2,128.36960000000005,130.36379367720465,,,128.11642458100562,,,,,129.2447510917031,95.03196506550219,117.92122270742364,"Tyler Rogers",15541,643511
"Chris Sale","BOS",5.2,103.06555555555556,111.10727272727273,,,109.29575757575758,,92.29454545454544,,,103.62529411764706,112.05392156862744,117.38372549019607,"Chris Sale",10603,519242
"Connor Brogdon","PHI",44,108.96863436123347,,102.79454545454543,,,,108.41511400651461,,,107.14166902404521,110.31779349363515,117.34743988684579,"Connor Brogdon",21205,641401
"Hunter Greene","CIN",125.2,111.45627004219406,,,,130.49527192008875,,78.75438596491227,,,117.52745670009116,101.65556973564267,117.21666362807657,"Hunter Greene",22182,668881
"Shaun Anderson","TOR",1,87.16000000000001,,,,102.61999999999999,,,,,98.34095238095237,107.28,117.09619047619047,"Shaun Anderson",19453,641312
"Caleb Thielbar","MIN",59.1,113.94518518518521,,,,127.14991935483872,122.65901234567899,107.074,,,119.29602851323827,102.90570264765785,116.80716904276984,"Caleb Thielbar",10078,573204
"Gerrit Cole","NYY",200.2,122.06107184923438,,103.57548076923081,,128.25894451962114,,85.54014492753622,111.8023796033994,,118.10539663093418,98.69026033690662,116.25372741194492,"Gerrit Cole",13125,543037
"Raynel Espinal","CIN",4.2,99.59172413793102,,,,88.53058823529412,,84.99333333333334,,,91.17946666666667,124.50186666666667,116.24826666666668,"Raynel Espinal",19516,642659
"Paul Sewald","SEA",64,121.87772819472615,,,,114.46021008403362,,,,,118.17425,100.19547916666669,116.05325000000003,"Paul Sewald",13892,623149
